"Date","Région","Plage de puissance injection","Filière de production","Nombre points injection"
"2025-09-29","OCCITANIE","P4 : ]100 - 250] kW","F0 : Total toutes filières",5082
"2025-09-29","OCCITANIE","P5 : ]250 - 1000] kW","F0 : Total toutes filières",628
"2025-09-29","OCCITANIE","P7 : > 12000 kW","F1 : Thermique non renouvelable",0
"2025-06-29","OCCITANIE","P5 : ]250 - 1000] kW","F2 : Bioénergies",14
"2025-06-29","OCCITANIE","P6 : ]1000 - 12000] kW","F2 : Bioénergies",13
"2025-06-29","OCCITANIE","P1 : ]0 - 3] kW","F4 : Eolien",8
"2025-09-29","OCCITANIE","P1 : ]0 - 3] kW","F4 : Eolien",8
"2025-09-29","OCCITANIE","P2 : ]3 - 9] kW","F4 : Eolien",10
"2025-09-29","OCCITANIE","P3 : ]9 - 100] kW","F2 : Bioénergies",11
"2025-09-29","OCCITANIE","P3 : ]9 - 100] kW","F6 : Autres",3
"2025-09-29","OCCITANIE","P4 : ]100 - 250] kW","F2 : Bioénergies",10
"2025-09-29","OCCITANIE","P4 : ]100 - 250] kW","F6 : Autres",1
"2025-09-29","OCCITANIE","P5 : ]250 - 1000] kW","F6 : Autres",3
"2025-09-29","OCCITANIE","P7 : > 12000 kW","F2 : Bioénergies",1
"2025-06-29","OCCITANIE","P0 : Total toutes puissances","F5 : Solaire",195398
"2025-06-29","OCCITANIE","P1 : ]0 - 3] kW","F1 : Thermique non renouvelable",0
"2025-06-29","OCCITANIE","P2 : ]3 - 9] kW","F5 : Solaire",82117
"2025-06-29","OCCITANIE","P6 : ]1000 - 12000] kW","F0 : Total toutes filières",816
"2025-06-29","OCCITANIE","P6 : ]1000 - 12000] kW","F3 : Hydraulique",127
"2025-06-29","OCCITANIE","P7 : > 12000 kW","F0 : Total toutes filières",28
"2025-06-29","OCCITANIE","P4 : ]100 - 250] kW","F3 : Hydraulique",133
"2025-09-29","OCCITANIE","P2 : ]3 - 9] kW","F3 : Hydraulique",2
"2025-09-29","OCCITANIE","P3 : ]9 - 100] kW","F3 : Hydraulique",74
"2025-09-29","OCCITANIE","P4 : ]100 - 250] kW","F1 : Thermique non renouvelable",2
"2025-09-29","OCCITANIE","P5 : ]250 - 1000] kW","F1 : Thermique non renouvelable",4
"2025-09-29","OCCITANIE","P6 : ]1000 - 12000] kW","F0 : Total toutes filières",829
"2025-09-29","OCCITANIE","P6 : ]1000 - 12000] kW","F5 : Solaire",487
"2025-09-29","OCCITANIE","P7 : > 12000 kW","F0 : Total toutes filières",30
"2025-09-29","OCCITANIE","P7 : > 12000 kW","F6 : Autres",1
"2025-06-29","OCCITANIE","P5 : ]250 - 1000] kW","F4 : Eolien",2
"2025-06-29","OCCITANIE","P6 : ]1000 - 12000] kW","F4 : Eolien",131
"2025-06-29","OCCITANIE","P4 : ]100 - 250] kW","F1 : Thermique non renouvelable",2
"2025-06-29","OCCITANIE","P4 : ]100 - 250] kW","F2 : Bioénergies",10
"2025-09-29","OCCITANIE","P0 : Total toutes puissances","F0 : Total toutes filières",202371
"2025-09-29","OCCITANIE","P1 : ]0 - 3] kW","F1 : Thermique non renouvelable",0
"2025-06-29","OCCITANIE","P2 : ]3 - 9] kW","F3 : Hydraulique",2
"2025-09-29","OCCITANIE","P1 : ]0 - 3] kW","F2 : Bioénergies",0
"2025-09-29","OCCITANIE","P1 : ]0 - 3] kW","F3 : Hydraulique",1
"2025-09-29","OCCITANIE","P3 : ]9 - 100] kW","F5 : Solaire",14654
"2025-09-29","OCCITANIE","P4 : ]100 - 250] kW","F3 : Hydraulique",132
"2025-09-29","OCCITANIE","P4 : ]100 - 250] kW","F4 : Eolien",0
"2025-09-29","OCCITANIE","P5 : ]250 - 1000] kW","F2 : Bioénergies",13
